Address,Name,Colour,Grey,Green,Zoom,LATITUDE,LONGITUDE
Brisbane City QLD Australia,Brisbane City,yellow,0.3663904958,0.2886125528,State,,
Gold Coast City QLD Australia,Gold Coast City,yellow,0.763419668,0.7660902687,State,,
Gympie Regional QLD Australia,Gympie Regional,yellow,0.2644032603,0.4217045441,State,,
Ipswich City QLD Australia,Ipswich City,yellow,0.5340347635,0.1009478368,State,,
Lockyer Valley Regional QLD Australia,Lockyer Valley Regional,yellow,0.320293337,0.7065290348,State,,
Logan City QLD Australia,Logan City,yellow,0.8903232146,0.5886250612,State,,
Moreton Bay Regional QLD Australia,Moreton Bay Regional,yellow,0.05698633254,0.9227045874,State,,
Noosa Shire QLD Australia,Noosa Shire,yellow,0.6784639952,0.1068451173,State,,
Redland City QLD Australia,Redland City,yellow,0.2020383571,0.7426349896,State,,
Scenic Rim Regional QLD Australia,Scenic Rim Regional,yellow,0.05448191327,0.1690277528,State,,
Somerset Regional QLD Australia,Somerset Regional,yellow,0.7453588719,0.7510046019,State,,
Sunshine Coast Regional QLD Australia,Sunshine Coast Regional,yellow,0.1266652004,0.1543220361,State,,
4000 QLD Australia,4000,yellow,0.0316766135,0.3318448021,Regional,,
4005 QLD Australia,4005,yellow,0.2043783364,0.2938139586,Regional,,
4006 QLD Australia,4006,yellow,0.2109910058,0.7536179849,Regional,,
4007 QLD Australia,4007,yellow,0.2491932039,0.2625110942,Regional,,
4008 QLD Australia,4008,yellow,0.1787045633,0.654175198,Regional,,
4010 QLD Australia,4010,yellow,0.955129132,0.9770923886,Regional,,
4011 QLD Australia,4011,yellow,0.1274266144,0.3395338325,Regional,,
4012 QLD Australia,4012,yellow,0.5514873165,0.5146267423,Regional,,
4013 QLD Australia,4013,yellow,0.3058779597,0.6742056848,Regional,,
4014 QLD Australia,4014,yellow,0.9112158718,0.1365761815,Regional,,
4017 QLD Australia,4017,yellow,0.2199840525,0.182146162,Regional,,
4018 QLD Australia,4018,yellow,0.2677049317,0.7349640109,Regional,,
4019 QLD Australia,4019,yellow,0.3586655288,0.4660178702,Regional,,
4020 QLD Australia,4020,yellow,0.2398633966,0.8498025968,Regional,,
4021 QLD Australia,4021,yellow,0.3261926091,0.1188714953,Regional,,
4022 QLD Australia,4022,yellow,0.1493951613,0.3972152819,Regional,,
4030 QLD Australia,4030,yellow,0.974883464,0.5533236014,Regional,,
4031 QLD Australia,4031,yellow,0.4667303897,0.2642892787,Regional,,
4032 QLD Australia,4032,yellow,0.3750918183,0.205536795,Regional,,
4034 QLD Australia,4034,yellow,0.105857921,0.2245468309,Regional,,
4035 QLD Australia,4035,yellow,0.2338417703,0.3847849376,Regional,,
4036 QLD Australia,4036,yellow,0.2033426307,0.2070247396,Regional,,
4037 QLD Australia,4037,yellow,0.6791329695,0.6341127295,Regional,,
